Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Pollination,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Increases or decreases in wind velocity.,Increases or decreases in dispersal distance through wind.,Natural variation,Short term,Local
Pollination,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Increases or decreases in wind velocity on a local basis,Increased or decreased quality of seed dispersal through wind,Natural variation,Short term,Local
Pollination,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Increases or decreases in wind velocity.,Increases or decreases in dispersal distance through wind.,Natural variation,Short term,Local
Pollination,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Increases or decreases in wind velocity on a local basis,Increased or decreased quality of seed dispersal through wind,Natural variation,Short term,Local
Pollination,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Increases or decreases in wind velocity.,Increases or decreases in dispersal distance through wind.,Natural variation,Short term,Local
Pollination,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Increases or decreases in wind velocity on a local basis,Increased or decreased quality of seed dispersal through wind,Natural variation,Short term,Local
Soil quality,Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-Long term,Local-Global
Soil quality,Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-Long term,Local-Global
Soil quality,Species,Droughts,A,Species are highly susceptible to droughts as most are dependent on water resources for survival. Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100.,Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-Long term,Local-Global
Soil quality,Water,Droughts,R,"Droughts directly reduce water availability and can affect water quality especially when they occur in areas of low water resources. The number and intensity of droughts has increased over the past decade, due to desertification, land degradation and population increases.",Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-Long term,Local-Global
Soil quality,Land geomorphology,Earthquakes,A,"Earthquakes can initiate major geomorphological changes by uplift, depression and tilting, vertical dislocations. These can be rapid and vast and unpredictable.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Species,Earthquakes,A,"Earthquakes are, like volcanic activity, difficult to predict and are unlikely to differ from historic trends. Earthquake events can have widespread negative impacts on species, with devastating local destruction and climate variation negatively affecting species in the short term. The unpredictability of event locations makes the study of impacts very difficult as there is often a lack of specific biodiversity data at sites pre-event, meaning that impacts cannot be determined with robust levels of certainty. Species responses will be dependent on a variety of factors, such as magnitude and pre existing climatic/ecological conditions. ",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,Species,Flooding,A,"Floods directly impact species at both population and individual levels. Impacts are variable across species and the most susceptible species to flooding events are freshwater aquatic, sedentary, shallow rooted and ground burrowing species. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,Water,Flooding,R,"Floods cause damage to water systems, which can lead to impacts on water-based pollination. Changes to global climate will see increased flood events. Changes in vegetation cover, can aid flood risk, as can reducing soil compaction in upland areas, in addition to maintaining sustainable drainage systems, and other urban infrastructure. Impacts will vary by location due to different environmental conditions and infrastructure. Flood events are hard to predict and there is little information on their impacts on water systems. ","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,Minerals,Habitat modification,R,"Habitat modification affects the soil and leads to altered mineral composition by increasing soil degradation, leaching, soil microbial activity and mineralisation of nutrients. Soils are highly susceptible to these processes when they are exposed to atmospheric conditions as opposed to naturally occurring microclimates created by vegetation. Habitat modification is expected to increase with human population expansion and is therefore expected to impact mineral levels over time. The extent to which mineral compositions are altered is, however, highly variable, uncertain and dependent on a variety of factors such as pre-existing conditions and soil composition.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,Minerals,Habitat modification,R,"Habitat modification affects the soil and leads to altered mineral composition by increasing soil degradation, leaching, soil microbial activity and mineralisation of nutrients. Soils are highly susceptible to these processes when they are exposed to atmospheric conditions as opposed to naturally occurring microclimates created by vegetation. Habitat modification is expected to increase with human population expansion and is therefore expected to impact mineral levels over time. The extent to which mineral compositions are altered is, however, highly variable, uncertain and dependent on a variety of factors such as pre-existing conditions and soil composition.","Alters water flow and availability, and rock structure and topographic characteristics which alter soil composition.",Changing decomposition and fixation processes,Human action,Short term,Local
Soil quality,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Alters water flow, rock structure, topographic characteristics which alter soil composition",Changing decomposition and fixation processes.,Human action,Long term,Local
Soil quality,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Alters water flow and availability, and rock structure and topographic characteristics which alter soil composition.",Changing decomposition and fixation processes,Human action,Short term,Local
Soil quality,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,"Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Alters water flow, rock structure, topographic characteristics which alter soil composition",Changing decomposition and fixation processes.,Human action,Long term,Local
Soil quality,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Alters water flow and availability, and rock structure and topographic characteristics which alter soil composition.",Changing decomposition and fixation processes,Human action,Short term,Local
Soil quality,Soils and sediments,Intensive agriculture and aquaculture,A,"Intensification in agricultural land-use and the use of inorganic fertlisers have a great impact on soil degradation and quality. Modern agricultural practices such as machine tilling change soil structure and reduce fertility. The damage depends largely on soil type and other factors. Agrochemicals cause soil pollution, changes in soil acidification, salinity, nutrient and water balance and soil biodiversity.",Addition of organic or inorganic matter results in changes in diversity in the soil and the microbial composition.,Alters matter composition and microbial community structure which in turn affects decomposition rate.,Human action,Short-Long term,Local-Global
Soil quality,Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Addition of organic or inorganic matter results in changes in diversity in the soil and the microbial composition.,Alters matter composition and microbial community structure which in turn affects decomposition rate.,Human action,Short-Long term,Local-Global
Soil quality,Water,Intensive agriculture and aquaculture,R,"Intensive agriculture is an important source of water pollution. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. While the majority of aquaculture practices have had few adverse effects on ecosystems, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population.",Addition of organic or inorganic matter results in changes in diversity in the soil and the microbial composition.,Alters matter composition and microbial community structure which in turn affects decomposition rate.,Human action,Short-Long term,Local-Global
Soil quality,Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Soil quality,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-Long term,Local-Global
Soil quality,Soils and sediments,Pollution,A,"Pollution negatively impact soils and sediments by affecting soil carbon stocks, soil biota and thus the protection of soil.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Soil quality,Soils and sediments,Pollution,A,"Pollution negatively impact soils and sediments by affecting soil carbon stocks, soil biota and thus the protection of soil.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-Long term,Local-Global
Soil quality,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Soil quality,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-Long term,Local-Global
Soil quality,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Soil quality,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-Long term,Local-Global
Soil quality,Land geomorphology,Volcanoes,A,"Volcanoes can have deep geomorphological consequences on surrounding landscapes. Some volcanic eruptions may result in creations of new land forms, and some can cause a series of events that result in major changes to the landscape and topography.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Minerals,Volcanoes,R,"Volcanic eruptions can greatly increase the deposition of minerals to far-reaching areas via atmospheric ash exudation and wind transportation. Additionally, hydrothermal activity can result in precipitation of mineral deposits in deep circulating water.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Soils and sediments,Volcanoes,R,"Soils can benefit from volcanoes by increasing fertility provided by ash and lava, however damages and impacts depend on the ash thickness. Small amounts may improve soils, but larger amounts or acidic ash may cause greater damage. Impacts can be positive or negative depending on conditions of soils and of volcanic activity.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Species,Volcanoes,A,"Large volcanic events can have widespread negative impacts on species, with devastating local destruction and climate variation negatively affecting species in the short term. Long term impacts differ, with studies highlighting that mineral deposition and land formation can have positive impacts, with disproportionately high positive impacts for pioneer species. These effects will be highly variable based on the magnitude of individual events. Volcanic activity is very difficult to predict and unlikely to differ from historic trends.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Soil quality,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Alteration of biochemical and chemical reactions.,Biochemical and chemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity.,Human action,Short-Long term,Global
Soil quality,Soils and sediments,Weather conditions,A,"Soils and sediments can be dried out and rearranged by strong winds. As soil is dried out, plant growth is reduced, which reduces the stability of the surface layer and leads to erosion. Desertification is a more extreme version of this process, where soils that lose stable plant communities become unstable themselves, and subsequently start to shift around. In contrast, increases in precipitation can cause changes to soil texture and structure, with increases in run-off causing reduction in top soil (which is often the most productive part of the soil).",Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Soil quality,Soils and sediments,Weather conditions,A,"Soils and sediments can be dried out and rearranged by strong winds. As soil is dried out, plant growth is reduced, which reduces the stability of the surface layer and leads to erosion. Desertification is a more extreme version of this process, where soils that lose stable plant communities become unstable themselves, and subsequently start to shift around. In contrast, increases in precipitation can cause changes to soil texture and structure, with increases in run-off causing reduction in top soil (which is often the most productive part of the soil).",Alteration of biochemical and chemical reactions.,Biochemical and chemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity.,Human action,Short-Long term,Global
Soil quality,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Soil quality,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Alteration of biochemical and chemical reactions.,Biochemical and chemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity.,Human action,Short-Long term,Global
Soil quality,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Soil quality,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Alteration of biochemical and chemical reactions.,Biochemical and chemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity.,Human action,Short-Long term,Global
Surface water,Water,Droughts,R,"Droughts directly reduce water availability and can affect water quality especially when they occur in areas of low water resources. The number and intensity of droughts has increased over the past decade, due to desertification, land degradation and population increases.",Anthropogenic climate change is leading to more frequent and severe droughts. Severe decreases in water flows and alterations to the geological characteristics of water bodies (e.g. desiccation of entire rivers).,Decrease in surface water provision.,Human action,Long term,Local-Regional-Global
Surface water,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Disturbance of natural water flows and sedimentation in catchments leading to geophysical alterations of water bodies Water flow will increase or decrease depending on local conditions.,"Increase or decrease in provision of surface water. If a certain volume of water is removed for industrial use and is not returned afterwards, then the total volume of surface water in will be decreased by that volume. Increased sedimentation cuts light to animals, leads to nutrient blooms and loss of oxygen.",Human action,Short term,Local
Surface water,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Anthropogenic climate change is leading to severe decreases in water flows and alterations to the geological characteristics of water bodies (e.g. desiccation of entire rivers).,Decrease in surface water provision.,Human action,Long term,Local-Regional-Global
Surface water,Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.","Over use by humans for agriculture, energy generation, other non-drinking purposes, and other industries leads to decrease in water flow and volume.","Decrease in surface water provision. Unless water is returned in equal volumes to water bodies after abstraction, then the volume of surface water provided through water bodies will be reduced by the amount that is not returned.",Human action,Short term,Local
Surface water,Water,Landslides,R,"Landslide and erosion activities can cause large amounts of earth and organic material to enter watercourses, reducing water quality, water supply, and available habitats. ",Natural changes in local geo-morphological characteristics of water bodies lead to increase or decrease in volumes of water flow and alter flow direction.,Increase or decrease in surface water provision.,Natural variation,Short-Long term,Local-Global
Surface water,Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",This affects watershed- or catchment-level water flows (i.e. increase or decrease in volume of water flowing through water bodies).,Increase or decrease in surface water provision.,Natural variation,Short term,Global
Ventilation,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Terrestrial vegetation lost and transpiration decreases.,Cooling and ventilation effect is lost and regional climate permanently altered.,Human action,Long term,Local
Ventilation,Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Extinction risk factors including habitat loss and microbial invasions lead to reduction in microbial populations and diversity.,Diminishes the ability of the microorganisms to consume VOCs and ventilate indoor air.,Human action,Short-Long term,Global
Ventilation,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,Can lead to changes in a plant’s ability to keep cool.,Plants can dry out in excessive transpiration induced by aridity.,Natural variation,Short term,Local
Water flow maintenance,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Water flow maintenance,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Water flow maintenance,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Water flow maintenance,Habitats,Landslides,R,Habitats are increasingly subjected to changes as a result of geological changes induced by mass flows. Studies have shown increases in the frequency and intensity of the associated processes as a result of  human activities. Grassland and freshwater aquatic habitats are highly susceptible to the disruption in nutrient balances and water quality that mass flows cause.,Increased or decreased water flows through landscapes,Increased or decreased water balances within landscapes,Natural variation,Short term,Local-Regional
Water flow maintenance,Water,Landslides,R,"Landslide and erosion activities can cause large amounts of earth and organic material to enter watercourses, reducing water quality, water supply, and available habitats. ",Increased or decreased water flows through landscapes,Increased or decreased water balances within landscapes,Natural variation,Short term,Local-Regional
Water flow maintenance,Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local
Water flow maintenance,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local
Water flow maintenance,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Alterations to nutrient cycles and balances resulting from pollution due to human activities.,Reduced quality of water resources.,Human action,Short term,Global
Water flow maintenance,Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local
Water flow maintenance,Water,Water abstraction,R,"Water abstraction reduces the amount of water available to support other ecosystem services. Situations of imbalance between demand and availability of water often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase.","Reduction in the amount of water in natural resources (e.g. surface
 and groundwater)","Changes in when and where water returns to the atmosphere, affects local or regional water balances and precipitation patterns.",Human action,Medium term,Local-Regional
